"Ημ/νία","Τελευταία","Άνοιγμα","Υψηλό","Χαμηλό","Όγκος","Αλλ.%"
"10.09.2025","239,17","238,90","241,66","237,85","35,14M","-0,19%"
"11.09.2025","240,37","239,88","242,25","236,25","30,60M","0,50%"
"12.09.2025","240,80","240,37","242,07","238,00","26,77M","0,18%"
"15.09.2025","251,61","244,66","252,41","244,66","58,38M","4,49%"
"16.09.2025","251,16","252,08","253,04","249,47","34,11M","-0,18%"
"17.09.2025","249,53","251,22","251,60","246,28","34,11M","-0,65%"
"18.09.2025","252,03","251,68","253,99","249,80","31,24M","1,00%"
"19.09.2025","254,72","253,25","256,00","251,81","55,57M","1,07%"
"22.09.2025","252,53","254,43","255,78","250,30","32,29M","-0,86%"
"23.09.2025","251,66","253,04","254,36","250,48","26,63M","-0,34%"
"24.09.2025","247,14","251,66","252,35","246,44","28,20M","-1,80%"
"25.09.2025","245,79","244,40","246,49","240,74","31,02M","-0,55%"
"26.09.2025","246,54","247,07","249,42","245,97","18,50M","0,31%"
"29.09.2025","244,05","247,85","251,15","242,77","32,51M","-1,01%"
"30.09.2025","243,10","242,81","243,29","239,24","34,72M","-0,39%"
"01.10.2025","244,90","240,75","246,30","238,61","31,66M","0,74%"
"02.10.2025","245,69","245,15","246,81","242,30","25,48M","0,32%"
"03.10.2025","245,35","244,49","246,30","241,65","30,25M","-0,14%"
"06.10.2025","250,43","244,78","251,32","244,58","28,89M","2,07%"
"07.10.2025","245,76","248,27","250,44","245,52","23,18M","-1,86%"
"08.10.2025","244,62","244,96","246,01","243,82","21,31M","-0,46%"
"09.10.2025","241,53","244,47","244,76","239,15","27,89M","-1,26%"
"10.10.2025","236,57","241,43","244,09","235,84","33,18M","-2,05%"
"13.10.2025","244,15","240,21","244,50","239,71","25,00M","3,20%"
"14.10.2025","245,45","241,23","247,12","240,51","22,11M","0,53%"
"15.10.2025","251,03","247,24","252,11","245,99","27,01M","2,27%"
"16.10.2025","251,46","251,76","256,96","250,10","28,00M","0,17%"
"17.10.2025","253,30","250,76","254,22","247,81","29,67M","0,73%"
"20.10.2025","256,55","254,69","257,33","254,23","22,35M","1,28%"
"21.10.2025","250,46","254,74","254,88","244,15","47,31M","-2,37%"
"22.10.2025","251,69","254,37","256,36","249,29","35,03M","0,49%"
"23.10.2025","253,08","252,98","255,04","251,85","19,90M","0,55%"
"24.10.2025","259,92","256,58","261,68","255,32","28,66M","2,70%"
"27.10.2025","269,27","264,82","270,14","264,28","35,24M","3,60%"
"28.10.2025","267,47","269,69","270,73","266,50","29,74M","-0,67%"
"29.10.2025","274,57","267,75","275,34","267,67","43,58M","2,65%"
