"Ημ/νία","Τελευταία","Άνοιγμα","Υψηλό","Χαμηλό","Όγκος","Αλλ.%"
"17.03.2025","238,01","245,05","245,40","232,80","111,90M","-4,79%"
"18.03.2025","225,31","228,15","230,10","222,28","111,48M","-5,34%"
"19.03.2025","235,86","231,61","241,41","229,20","111,99M","4,68%"
"20.03.2025","236,26","233,35","238,00","230,05","99,03M","0,17%"
"21.03.2025","248,71","234,99","249,52","234,55","132,73M","5,27%"
"24.03.2025","278,39","258,08","278,64","256,33","169,08M","11,93%"
"25.03.2025","288,14","283,60","288,20","271,28","150,36M","3,50%"
"26.03.2025","272,06","282,66","284,90","266,51","156,25M","-5,58%"
"27.03.2025","273,13","272,48","291,85","271,82","162,57M","0,39%"
"28.03.2025","263,55","275,58","276,10","260,57","123,81M","-3,51%"
"31.03.2025","259,16","249,31","260,56","243,36","134,01M","-1,67%"
"01.04.2025","268,46","263,80","277,45","259,25","146,49M","3,59%"
"02.04.2025","282,76","254,60","284,99","251,27","212,79M","5,33%"
"03.04.2025","267,28","265,29","276,30","261,51","136,17M","-5,47%"
"04.04.2025","239,43","255,38","261,00","236,00","181,23M","-10,42%"
"07.04.2025","233,29","223,78","252,00","214,25","183,45M","-2,56%"
"08.04.2025","221,86","245,00","250,44","217,80","171,60M","-4,90%"
"09.04.2025","272,20","224,69","274,69","223,88","219,43M","22,69%"
"10.04.2025","252,40","260,00","262,49","239,33","181,72M","-7,27%"
"11.04.2025","252,31","251,84","257,74","241,36","128,95M","-0,04%"
"14.04.2025","252,35","258,36","261,80","245,93","100,14M","0,02%"
"15.04.2025","254,11","249,91","258,75","247,54","79,59M","0,70%"
"16.04.2025","241,55","247,61","251,97","233,89","112,38M","-4,94%"
"17.04.2025","241,37","243,47","244,34","237,68","83,40M","-0,07%"
"21.04.2025","227,50","230,26","232,21","222,79","97,77M","-5,75%"
"22.04.2025","237,97","230,96","242,79","229,85","120,86M","4,60%"
"23.04.2025","250,74","254,86","259,45","244,43","150,38M","5,37%"
"24.04.2025","259,51","250,50","259,54","249,20","94,46M","3,50%"
"25.04.2025","284,95","261,69","286,85","259,63","167,56M","9,80%"
"28.04.2025","285,88","288,98","294,86","272,42","151,73M","0,33%"
"29.04.2025","292,03","285,50","293,32","279,47","108,91M","2,15%"
"30.04.2025","282,16","279,90","284,45","270,78","128,96M","-3,38%"
"01.05.2025","280,52","280,01","290,87","279,81","99,66M","-0,58%"
"02.05.2025","287,21","284,90","294,78","279,81","114,45M","2,38%"
"05.05.2025","280,26","284,57","284,85","274,40","94,62M","-2,42%"
"06.05.2025","275,35","273,11","277,73","271,35","76,72M","-1,75%"
"07.05.2025","276,22","276,88","277,92","271,00","71,88M","0,32%"
"08.05.2025","284,82","279,63","289,80","279,41","97,54M","3,11%"
"09.05.2025","298,26","290,21","307,04","290,00","132,39M","4,72%"
"12.05.2025","318,38","321,99","322,21","311,50","112,83M","6,75%"
"13.05.2025","334,07","320,00","337,59","316,80","136,99M","4,93%"
